Response,Numerical,Ordinal
0,1331,5
0,2744,4
0,3375,4
0,1000,3
0,3375,3
0,1000,3
0,3375,2
0,1000,2
0,2197,2
0,2744,2
0,1000,1
0,3375,1
0,3375,1
0,2744,1
0,1331,1
0,1000,5
0,1000,4
0,1331,4
0,2744,3
0,2197,3
0,1331,3
0,1000,2
0,2744,2
0,1331,2
0,1000,2
0,1000,1
0,1728,1
0,2744,1
0,1331,1
0,2744,1
0,1000,5
0,2197,4
0,2744,4
0,2744,3
0,2197,3
0,2197,3
0,1331,2
0,3375,2
0,2197,2
0,1000,2
0,1728,1
0,1000,1
1,3375,1
1,2197,1
1,1728,1
1,4096,1
1,2197,1
1,4096,1
1,2744,2
1,2744,2
1,2744,2
1,2197,3
1,1728,3
1,2197,3
1,2744,3
1,3375,3
1,2197,4
1,3375,4
1,4913,4
1,1728,4
1,2744,4
1,4913,4
1,3375,4
1,1728,4
1,2197,5
1,4096,5
1,2197,5
1,1728,5
1,4913,5
1,4096,5
1,4096,5
1,2197,5
1,3375,5
1,2744,5
1,4913,1
1,1728,2
1,2744,3
1,3375,4
