private_cat,retire_cat,hhincome_cat,age
No PI,0,< $10K,62
No PI,0,< $10K,59
No PI,1,< $10K,60
No PI,0,< $10K,62
No PI,0,< $10K,54
No PI,1,< $10K,62
No PI,0,< $10K,59
No PI,0,< $10K,59
No PI,0,< $10K,65
No PI,0,< $10K,58
No PI,0,< $10K,60
PI,1,< $10K,61
No PI,0,< $10K,64
No PI,0,< $10K,59
No PI,0,< $10K,58
No PI,0,< $10K,62
PI,0,< $10K,65
PI,0,< $10K,63
No PI,0,< $10K,67
PI,0,< $10K,69
No PI,0,< $10K,59
No PI,0,< $10K,59
No PI,0,< $10K,65
No PI,0,< $10K,61
No PI,0,< $10K,69
No PI,0,< $10K,67
No PI,0,< $10K,64
No PI,0,< $10K,66
No PI,0,< $10K,66
No PI,0,< $10K,61
No PI,0,< $10K,63
No PI,0,< $10K,68
No PI,0,< $10K,65
No PI,0,< $10K,66
No PI,0,< $10K,65
No PI,0,< $10K,65
No PI,1,< $10K,68
No PI,0,< $10K,64
No PI,0,< $10K,59
No PI,0,< $10K,66
No PI,1,< $10K,72
No PI,0,< $10K,66
No PI,0,< $10K,66
No PI,1,< $10K,65
No PI,1,< $10K,67
No PI,0,< $10K,57
No PI,0,< $10K,63
No PI,0,< $10K,66
No PI,0,< $10K,59
No PI,1,< $10K,70
No PI,0,< $10K,67
No PI,0,< $10K,60
No PI,0,< $10K,65
No PI,0,< $10K,60
No PI,0,< $10K,63
No PI,0,< $10K,65
No PI,1,< $10K,66
No PI,0,< $10K,58
PI,0,< $10K,59
No PI,1,< $10K,67
No PI,0,< $10K,53
No PI,0,< $10K,59
No PI,1,< $10K,68
No PI,1,< $10K,67
No PI,0,< $10K,67
No PI,1,< $10K,66
No PI,1,< $10K,65
No PI,0,< $10K,64
PI,1,< $10K,66
No PI,1,< $10K,67
PI,1,< $10K,65
No PI,1,< $10K,65
No PI,0,< $10K,63
No PI,1,< $10K,65
No PI,0,< $10K,61
No PI,1,< $10K,66
No PI,1,< $10K,62
No PI,0,< $10K,60
No PI,0,< $10K,69
PI,0,< $10K,63
No PI,1,< $10K,67
No PI,0,< $10K,66
No PI,1,< $10K,68
PI,0,< $10K,66
No PI,0,< $10K,61
No PI,1,< $10K,59
No PI,0,< $10K,60
No PI,0,< $10K,66
No PI,0,< $10K,67
No PI,1,< $10K,67
No PI,0,< $10K,62
No PI,0,< $10K,76
No PI,0,< $10K,65
No PI,1,< $10K,69
No PI,0,< $10K,66
No PI,0,< $10K,62
No PI,0,< $10K,67
No PI,0,< $10K,69
No PI,0,< $10K,59
No PI,0,< $10K,68
No PI,1,< $10K,68
No PI,1,< $10K,69
PI,1,< $10K,63
No PI,1,< $10K,67
No PI,1,< $10K,66
No PI,1,< $10K,69
No PI,0,< $10K,67
PI,0,< $10K,67
No PI,1,< $10K,68
No PI,1,< $10K,67
PI,0,< $10K,67
No PI,1,< $10K,68
No PI,1,< $10K,79
No PI,0,< $10K,62
No PI,1,< $10K,68
No PI,0,< $10K,65
No PI,1,< $10K,69
PI,0,< $10K,60
No PI,0,< $10K,65
PI,0,< $10K,63
No PI,0,< $10K,68
No PI,0,< $10K,60
No PI,0,< $10K,62
No PI,1,< $10K,62
No PI,1,< $10K,60
No PI,0,< $10K,63
No PI,1,< $10K,73
No PI,1,< $10K,69
No PI,0,< $10K,65
No PI,0,< $10K,59
No PI,0,< $10K,65
No PI,0,< $10K,65
No PI,0,< $10K,65
No PI,0,< $10K,61
No PI,0,< $10K,60
No PI,0,< $10K,65
No PI,1,< $10K,68
No PI,0,< $10K,67
No PI,0,< $10K,63
No PI,1,< $10K,67
No PI,0,< $10K,66
No PI,0,< $10K,68
No PI,1,< $10K,66
No PI,0,< $10K,61
No PI,0,< $10K,67
No PI,0,< $10K,60
No PI,1,< $10K,65
No PI,0,< $10K,65
No PI,0,< $10K,67
No PI,1,< $10K,67
No PI,0,< $10K,66
No PI,0,< $10K,67
No PI,1,< $10K,67
No PI,0,< $10K,68
No PI,0,< $10K,68
No PI,0,< $10K,67
No PI,0,< $10K,68
No PI,0,< $10K,63
No PI,0,< $10K,63
No PI,0,< $10K,60
No PI,1,< $10K,66
No PI,0,< $10K,60
No PI,1,< $10K,68
No PI,0,< $10K,67
No PI,0,< $10K,64
No PI,1,< $10K,65
No PI,0,< $10K,60
No PI,0,< $10K,67
No PI,1,< $10K,58
No PI,0,< $10K,68
No PI,0,< $10K,68
No PI,1,< $10K,67
No PI,0,< $10K,63
No PI,0,< $10K,61
No PI,1,< $10K,65
No PI,0,< $10K,61
No PI,0,< $10K,66
No PI,1,< $10K,64
No PI,1,< $10K,67
No PI,1,< $10K,67
No PI,1,< $10K,67
No PI,0,< $10K,65
No PI,0,< $10K,65
No PI,1,< $10K,68
No PI,1,< $10K,67
No PI,1,< $10K,66
No PI,0,< $10K,68
No PI,0,< $10K,66
No PI,1,< $10K,69
No PI,0,< $10K,62
No PI,0,< $10K,67
No PI,0,< $10K,62
No PI,1,< $10K,66
No PI,1,< $10K,66
No PI,1,< $10K,66
No PI,1,< $10K,69
No PI,0,< $10K,66
No PI,0,< $10K,61
No PI,1,< $10K,68
No PI,1,< $10K,70
No PI,1,< $10K,68
No PI,1,< $10K,68
No PI,1,< $10K,67
No PI,0,< $10K,59
No PI,0,< $10K,61
No PI,1,< $10K,68
No PI,0,< $10K,56
No PI,0,< $10K,69
No PI,1,< $10K,68
No PI,1,< $10K,67
No PI,1,< $10K,65
No PI,1,< $10K,68
PI,1,< $10K,64
No PI,1,< $10K,67
No PI,0,< $10K,61
No PI,0,< $10K,60
PI,1,< $10K,68
No PI,0,< $10K,63
No PI,0,< $10K,59
No PI,1,< $10K,67
No PI,1,< $10K,67
No PI,1,< $10K,70
No PI,1,< $10K,67
No PI,0,< $10K,66
No PI,0,< $10K,65
No PI,1,< $10K,67
No PI,0,< $10K,67
No PI,1,< $10K,66
No PI,0,< $10K,63
No PI,0,< $10K,64
No PI,1,< $10K,68
No PI,0,< $10K,62
No PI,0,< $10K,66
No PI,0,< $10K,61
No PI,1,< $10K,68
No PI,1,< $10K,67
No PI,0,< $10K,66
No PI,1,< $10K,69
No PI,1,< $10K,68
No PI,1,< $10K,68
No PI,0,< $10K,61
No PI,0,< $10K,67
No PI,0,< $10K,67
No PI,1,< $10K,66
No PI,1,< $10K,66
No PI,1,< $10K,67
No PI,0,< $10K,60
No PI,0,< $10K,69
No PI,1,< $10K,74
No PI,1,< $10K,75
No PI,1,< $10K,68
No PI,1,< $10K,66
No PI,0,< $10K,63
No PI,1,< $10K,66
No PI,1,< $10K,67
No PI,1,< $10K,66
No PI,1,< $10K,68
No PI,0,< $10K,64
No PI,1,< $10K,65
No PI,0,< $10K,68
No PI,0,< $10K,67
No PI,0,< $10K,66
No PI,0,< $10K,59
No PI,1,< $10K,78
No PI,1,< $10K,66
No PI,0,< $10K,66
No PI,0,< $10K,67
No PI,0,< $10K,59
No PI,1,< $10K,69
No PI,1,< $10K,67
No PI,1,< $10K,75
No PI,1,< $10K,76
No PI,1,< $10K,68
No PI,1,< $10K,68
No PI,0,< $10K,60
No PI,0,< $10K,67
No PI,1,< $10K,71
No PI,1,< $10K,68
No PI,1,< $10K,65
No PI,0,< $10K,62
No PI,1,< $10K,67
No PI,1,< $10K,63
No PI,0,< $10K,68
No PI,1,< $10K,72
No PI,0,< $10K,64
No PI,0,< $10K,64
No PI,0,< $10K,64
No PI,1,< $10K,68
No PI,0,< $10K,69
No PI,1,< $10K,68
No PI,1,< $10K,64
No PI,0,< $10K,65
No PI,1,< $10K,67
No PI,0,< $10K,62
PI,0,< $10K,67
No PI,0,< $10K,59
No PI,1,< $10K,67
PI,1,< $10K,69
No PI,0,< $10K,68
No PI,0,< $10K,63
No PI,1,< $10K,66
No PI,1,< $10K,74
No PI,0,< $10K,67
No PI,1,< $10K,66
No PI,1,< $10K,63
No PI,0,< $10K,69
No PI,0,< $10K,58
No PI,0,< $10K,65
No PI,1,< $10K,67
No PI,0,< $10K,64
No PI,1,< $10K,67
No PI,0,< $10K,66
No PI,1,< $10K,67
No PI,0,< $10K,58
No PI,1,< $10K,65
No PI,1,< $10K,68
No PI,0,< $10K,67
No PI,0,< $10K,64
No PI,1,< $10K,66
PI,0,< $10K,66
No PI,1,< $10K,67
No PI,0,< $10K,75
No PI,0,< $10K,63
No PI,1,< $10K,67
No PI,0,< $10K,67
No PI,1,< $10K,66
No PI,0,< $10K,68
PI,0,< $10K,69
No PI,1,< $10K,68
No PI,0,< $10K,69
No PI,0,< $10K,65
No PI,0,< $10K,78
No PI,0,< $10K,69
No PI,1,< $10K,61
No PI,1,< $10K,60
No PI,1,< $10K,65
PI,0,< $10K,63
No PI,1,< $10K,60
No PI,0,< $10K,58
No PI,1,< $10K,68
No PI,0,< $10K,66
No PI,0,< $10K,70
PI,1,< $10K,66
No PI,1,< $10K,65
No PI,0,< $10K,59
No PI,0,< $10K,62
No PI,1,< $10K,67
No PI,1,< $10K,67
No PI,1,< $10K,75
No PI,0,< $10K,59
No PI,1,< $10K,68
No PI,0,< $10K,59
No PI,1,< $10K,71
No PI,1,< $10K,65
No PI,1,< $10K,67
No PI,0,< $10K,67
No PI,0,< $10K,66
No PI,0,< $10K,66
No PI,0,< $10K,74
No PI,0,< $10K,60
No PI,1,< $10K,64
No PI,1,< $10K,65
No PI,0,< $10K,60
No PI,0,< $10K,60
No PI,1,< $10K,67
No PI,0,< $10K,62
No PI,0,< $10K,59
No PI,0,< $10K,67
No PI,0,< $10K,64
No PI,0,< $10K,61
No PI,0,< $10K,57
No PI,0,< $10K,60
No PI,1,< $10K,65
No PI,1,< $10K,77
No PI,0,< $10K,68
No PI,1,< $10K,65
No PI,0,< $10K,66
No PI,1,< $10K,68
No PI,0,< $10K,65
No PI,1,< $10K,79
No PI,1,< $10K,67
No PI,1,< $10K,65
No PI,0,< $10K,66
PI,0,"[$10K, $30K)",59
No PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",61
No PI,0,"[$10K, $30K)",63
No PI,0,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",56
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",65
