"air","exposure","smoking","level"
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",1
"low","no","non",2
"low","no","non",2
"low","no","non",2
"low","no","non",2
"low","no","non",2
"low","no","non",2
"low","no","non",2
"low","no","non",2
"low","no","non",2
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
"low","no","ex",1
