"age","smoke","pop","dead"
"40-44","no",656,18
"45-49","no",359,22
"50-54","no",249,19
"55-59","no",632,55
"60-64","no",1067,117
"65-69","no",897,170
"70-74","no",668,179
"75-79","no",361,120
"80+","no",274,120
"40-44","cigarPipeOnly",145,2
"45-49","cigarPipeOnly",104,4
"50-54","cigarPipeOnly",98,3
"55-59","cigarPipeOnly",372,38
"60-64","cigarPipeOnly",846,113
"65-69","cigarPipeOnly",949,173
"70-74","cigarPipeOnly",824,212
"75-79","cigarPipeOnly",667,243
"80+","cigarPipeOnly",537,253
"40-44","cigarrettePlus",4531,149
"45-49","cigarrettePlus",3030,169
"50-54","cigarrettePlus",2267,193
"55-59","cigarrettePlus",4682,576
"60-64","cigarrettePlus",6052,1001
"65-69","cigarrettePlus",3880,901
"70-74","cigarrettePlus",2033,613
"75-79","cigarrettePlus",871,337
"80+","cigarrettePlus",345,189
"40-44","cigarretteOnly",3410,124
"45-49","cigarretteOnly",2239,140
"50-54","cigarretteOnly",1851,187
"55-59","cigarretteOnly",3270,514
"60-64","cigarretteOnly",3791,778
"65-69","cigarretteOnly",2421,689
"70-74","cigarretteOnly",1195,432
"75-79","cigarretteOnly",436,214
"80+","cigarretteOnly",113,63
